PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,Group_size,Fare_Cat,Age_Cat
1,0,3,male,1,0,S,Mr,couple,1-10,15-30
2,1,1,female,1,0,C,Mrs,couple,70-100,30-45
3,1,3,female,0,0,S,Miss,solo,1-10,15-30
4,1,1,female,1,0,S,Mrs,couple,40-70,30-45
5,0,3,male,0,0,S,Mr,solo,1-10,30-45
6,0,3,male,0,0,Q,Mr,solo,1-10,15-30
7,0,1,male,0,0,S,Mr,solo,40-70,45-60
8,0,3,male,3,1,S,Master,large group,10-25,0-15
9,1,3,female,0,2,S,Mrs,group,10-25,15-30
10,1,2,female,1,0,C,Mrs,couple,25-40,0-15
11,1,3,female,1,1,S,Miss,group,10-25,0-15
12,1,1,female,0,0,S,Miss,solo,25-40,45-60
13,0,3,male,0,0,S,Mr,solo,1-10,15-30
14,0,3,male,1,5,S,Mr,large group,25-40,30-45
15,0,3,female,0,0,S,Miss,solo,1-10,0-15
16,1,2,female,0,0,S,Mrs,solo,10-25,45-60
17,0,3,male,4,1,Q,Master,large group,25-40,0-15
18,1,2,male,0,0,S,Mr,solo,10-25,30-45
19,0,3,female,1,0,S,Mrs,couple,10-25,30-45
20,1,3,female,0,0,C,Mrs,solo,1-10,30-45
21,0,2,male,0,0,S,Mr,couple,25-40,30-45
22,1,2,male,0,0,S,Mr,solo,10-25,30-45
23,1,3,female,0,0,Q,Miss,solo,1-10,
24,1,1,male,0,0,S,Mr,solo,25-40,15-30
25,0,3,female,3,1,S,Miss,large group,10-25,0-15
26,1,3,female,1,5,S,Mrs,large group,25-40,30-45
27,0,3,male,0,0,C,Mr,solo,1-10,15-30
28,0,1,male,3,2,S,Mr,large group,100+,15-30
29,1,3,female,0,0,Q,Miss,solo,1-10,15-30
30,0,3,male,0,0,S,Mr,solo,1-10,15-30
31,0,1,male,0,0,C,Rare Title,solo,25-40,30-45
32,1,1,female,1,0,C,Mrs,couple,100+,30-45
33,1,3,female,0,0,Q,Miss,solo,1-10,15-30
34,0,2,male,0,0,S,Mr,solo,10-25,60+
35,0,1,male,1,0,C,Mr,couple,70-100,15-30
36,0,1,male,1,0,S,Mr,couple,40-70,30-45
37,1,3,male,0,0,C,Mr,solo,1-10,15-30
38,0,3,male,0,0,S,Mr,solo,1-10,15-30
39,0,3,female,2,0,S,Miss,group,10-25,15-30
40,1,3,female,1,0,C,Miss,couple,10-25,0-15
41,0,3,female,1,0,S,Mrs,couple,1-10,30-45
42,0,2,female,1,0,S,Mrs,couple,10-25,15-30
43,0,3,male,0,0,C,Mr,solo,1-10,15-30
44,1,2,female,1,2,C,Miss,group,40-70,0-15
45,1,3,female,0,0,Q,Miss,solo,1-10,15-30
46,0,3,male,0,0,S,Mr,solo,1-10,15-30
47,0,3,male,1,0,Q,Mr,couple,10-25,15-30
48,1,3,female,0,0,Q,Miss,solo,1-10,15-30
49,0,3,male,2,0,C,Mr,group,10-25,15-30
50,0,3,female,1,0,S,Mrs,couple,10-25,15-30
51,0,3,male,4,1,S,Master,large group,25-40,0-15
52,0,3,male,0,0,S,Mr,solo,1-10,15-30
53,1,1,female,1,0,C,Mrs,group,70-100,45-60
54,1,2,female,1,0,S,Mrs,couple,25-40,15-30
55,0,1,male,0,1,C,Mr,couple,40-70,60+
56,1,1,male,0,0,S,Mr,solo,25-40,30-45
57,1,2,female,0,0,S,Miss,solo,10-25,15-30
58,0,3,male,0,0,C,Mr,solo,1-10,15-30
59,1,2,female,1,2,S,Miss,group,25-40,0-15
60,0,3,male,5,2,S,Master,large group,40-70,0-15
61,0,3,male,0,0,C,Mr,solo,1-10,15-30
62,1,1,female,0,0,S,Miss,couple,70-100,30-45
63,0,1,male,1,0,S,Mr,couple,70-100,30-45
64,0,3,male,3,2,S,Master,large group,25-40,0-15
65,0,1,male,0,0,C,Mr,solo,25-40,30-45
66,1,3,male,1,1,C,Master,group,10-25,0-15
67,1,2,female,0,0,S,Mrs,solo,10-25,15-30
68,0,3,male,0,0,S,Mr,solo,1-10,15-30
69,1,3,female,4,2,S,Miss,large group,1-10,15-30
70,0,3,male,2,0,S,Mr,group,1-10,15-30
71,0,2,male,0,0,S,Mr,solo,10-25,30-45
72,0,3,female,5,2,S,Miss,large group,40-70,15-30
73,0,2,male,0,0,S,Mr,large group,70-100,15-30
74,0,3,male,1,0,C,Mr,couple,10-25,15-30
75,1,3,male,0,0,S,Mr,large group,40-70,30-45
76,0,3,male,0,0,S,Mr,solo,1-10,15-30
77,0,3,male,0,0,S,Mr,solo,1-10,15-30
78,0,3,male,0,0,S,Mr,solo,1-10,15-30
79,1,2,male,0,2,S,Master,group,25-40,0-15
80,1,3,female,0,0,S,Miss,couple,10-25,15-30
81,0,3,male,0,0,S,Mr,solo,1-10,15-30
82,1,3,male,0,0,S,Mr,solo,1-10,15-30
83,1,3,female,0,0,Q,Miss,solo,1-10,15-30
84,0,1,male,0,0,S,Mr,solo,40-70,15-30
85,1,2,female,0,0,S,Miss,solo,10-25,15-30
86,1,3,female,3,0,S,Mrs,group,10-25,30-45
87,0,3,male,1,3,S,Mr,large group,25-40,15-30
88,0,3,male,0,0,S,Mr,solo,1-10,15-30
89,1,1,female,3,2,S,Miss,large group,100+,15-30
90,0,3,male,0,0,S,Mr,solo,1-10,15-30
91,0,3,male,0,0,S,Mr,solo,1-10,15-30
92,0,3,male,0,0,S,Mr,solo,1-10,15-30
93,0,1,male,1,0,S,Mr,couple,40-70,45-60
94,0,3,male,1,2,S,Mr,group,10-25,15-30
95,0,3,male,0,0,S,Mr,solo,1-10,45-60
96,0,3,male,0,0,S,Mr,solo,1-10,15-30
97,0,1,male,0,0,C,Mr,solo,25-40,60+
98,1,1,male,0,1,C,Mr,couple,40-70,15-30
99,1,2,female,0,1,S,Mrs,couple,10-25,30-45
100,0,2,male,1,0,S,Mr,couple,25-40,30-45
101,0,3,female,0,0,S,Miss,solo,1-10,15-30
102,0,3,male,0,0,S,Mr,solo,1-10,15-30
103,0,1,male,0,1,S,Mr,couple,70-100,15-30
104,0,3,male,0,0,S,Mr,solo,1-10,30-45
105,0,3,male,2,0,S,Mr,group,1-10,30-45
106,0,3,male,0,0,S,Mr,solo,1-10,15-30
107,1,3,female,0,0,S,Miss,solo,1-10,15-30
108,1,3,male,0,0,S,Mr,solo,1-10,15-30
109,0,3,male,0,0,S,Mr,solo,1-10,30-45
110,1,3,female,1,0,Q,Miss,group,10-25,15-30
111,0,1,male,0,0,S,Mr,couple,40-70,45-60
112,0,3,female,1,0,C,Miss,couple,10-25,0-15
113,0,3,male,0,0,S,Mr,solo,1-10,15-30
114,0,3,female,1,0,S,Miss,couple,1-10,15-30
115,0,3,female,0,0,C,Miss,couple,10-25,15-30
116,0,3,male,0,0,S,Mr,solo,1-10,15-30
117,0,3,male,0,0,Q,Mr,solo,1-10,60+
118,0,2,male,1,0,S,Mr,couple,10-25,15-30
119,0,1,male,0,1,C,Mr,couple,100+,15-30
120,0,3,female,4,2,S,Miss,large group,25-40,0-15
121,0,2,male,2,0,S,Mr,large group,70-100,15-30
122,0,3,male,0,0,S,Mr,solo,1-10,15-30
123,0,2,male,1,0,C,Mr,couple,25-40,30-45
124,1,2,female,0,0,S,Miss,solo,10-25,30-45
125,0,1,male,0,1,S,Mr,couple,70-100,45-60
126,1,3,male,1,0,C,Master,couple,10-25,0-15
127,0,3,male,0,0,Q,Mr,solo,1-10,15-30
128,1,3,male,0,0,S,Mr,solo,1-10,15-30
129,1,3,female,1,1,C,Miss,group,10-25,15-30
130,0,3,male,0,0,S,Mr,solo,1-10,30-45
131,0,3,male,0,0,C,Mr,solo,1-10,30-45
132,0,3,male,0,0,S,Mr,solo,1-10,15-30
133,0,3,female,1,0,S,Mrs,couple,10-25,45-60
134,1,2,female,1,0,S,Mrs,couple,25-40,15-30
135,0,2,male,0,0,S,Mr,solo,10-25,15-30
136,0,2,male,0,0,C,Mr,solo,10-25,15-30
137,1,1,female,0,2,S,Miss,group,25-40,15-30
138,0,1,male,1,0,S,Mr,couple,40-70,30-45
139,0,3,male,0,0,S,Mr,couple,1-10,15-30
140,0,1,male,0,0,C,Mr,couple,70-100,15-30
141,0,3,female,0,2,C,Mrs,group,10-25,30-45
142,1,3,female,0,0,S,Miss,solo,1-10,15-30
143,1,3,female,1,0,S,Mrs,couple,10-25,15-30
144,0,3,male,0,0,Q,Mr,solo,1-10,15-30
145,0,2,male,0,0,S,Mr,solo,10-25,15-30
146,0,2,male,1,1,S,Mr,group,25-40,15-30
147,1,3,male,0,0,S,Mr,solo,1-10,15-30
148,0,3,female,2,2,S,Miss,large group,25-40,0-15
149,0,2,male,0,2,S,Mr,group,25-40,30-45
150,0,2,male,0,0,S,Rare Title,solo,10-25,30-45
151,0,2,male,0,0,S,Rare Title,solo,10-25,45-60
152,1,1,female,1,0,S,Mrs,couple,40-70,15-30
153,0,3,male,0,0,S,Mr,solo,1-10,45-60
154,0,3,male,0,2,S,Mr,group,10-25,30-45
155,0,3,male,0,0,S,Mr,solo,1-10,15-30
156,0,1,male,0,1,C,Mr,couple,40-70,45-60
157,1,3,female,0,0,Q,Miss,solo,1-10,15-30
158,0,3,male,0,0,S,Mr,solo,1-10,15-30
159,0,3,male,0,0,S,Mr,solo,1-10,15-30
160,0,3,male,8,2,S,Master,large group,40-70,0-15
161,0,3,male,0,1,S,Mr,couple,10-25,30-45
162,1,2,female,0,0,S,Mrs,solo,10-25,30-45
163,0,3,male,0,0,S,Mr,solo,1-10,15-30
164,0,3,male,0,0,S,Mr,solo,1-10,15-30
165,0,3,male,4,1,S,Master,large group,25-40,0-15
166,1,3,male,0,2,S,Master,group,10-25,0-15
167,1,1,female,0,1,S,Mrs,couple,40-70,30-45
168,0,3,female,1,4,S,Mrs,large group,25-40,30-45
169,0,1,male,0,0,S,Mr,solo,25-40,30-45
170,0,3,male,0,0,S,Mr,large group,40-70,15-30
171,0,1,male,0,0,S,Mr,solo,25-40,60+
172,0,3,male,4,1,Q,Master,large group,25-40,0-15
173,1,3,female,1,1,S,Miss,group,10-25,0-15
174,0,3,male,0,0,S,Mr,solo,1-10,15-30
175,0,1,male,0,0,C,Mr,solo,25-40,45-60
176,0,3,male,1,1,S,Mr,group,1-10,15-30
177,0,3,male,3,1,S,Master,large group,25-40,0-15
178,0,1,female,0,0,C,Miss,solo,25-40,45-60
179,0,2,male,0,0,S,Mr,solo,10-25,15-30
180,0,3,male,0,0,S,Mr,group,1-10,30-45
181,0,3,female,8,2,S,Miss,large group,40-70,15-30
182,0,2,male,0,0,C,Mr,solo,10-25,30-45
183,0,3,male,4,2,S,Master,large group,25-40,0-15
184,1,2,male,2,1,S,Master,group,25-40,0-15
185,1,3,female,0,2,S,Miss,group,10-25,0-15
186,0,1,male,0,0,S,Mr,solo,40-70,30-45
187,1,3,female,1,0,Q,Mrs,couple,10-25,30-45
188,1,1,male,0,0,S,Mr,solo,25-40,30-45
189,0,3,male,1,1,Q,Mr,group,10-25,30-45
190,0,3,male,0,0,S,Mr,solo,1-10,30-45
191,1,2,female,0,0,S,Mrs,solo,10-25,30-45
192,0,2,male,0,0,S,Mr,solo,10-25,15-30
193,1,3,female,1,0,S,Miss,couple,1-10,15-30
194,1,2,male,1,1,S,Master,group,25-40,0-15
195,1,1,female,0,0,C,Mrs,solo,25-40,30-45
196,1,1,female,0,0,C,Miss,couple,100+,45-60
197,0,3,male,0,0,Q,Mr,solo,1-10,15-30
198,0,3,male,0,1,S,Mr,couple,1-10,30-45
199,1,3,female,0,0,Q,Miss,solo,1-10,15-30
200,0,2,female,0,0,S,Miss,solo,10-25,15-30
201,0,3,male,0,0,S,Mr,solo,1-10,15-30
202,0,3,male,8,2,S,Mr,large group,40-70,15-30
203,0,3,male,0,0,S,Mr,solo,1-10,30-45
204,0,3,male,0,0,C,Mr,solo,1-10,45-60
205,1,3,male,0,0,S,Mr,solo,1-10,15-30
206,0,3,female,0,1,S,Miss,couple,10-25,0-15
207,0,3,male,1,0,S,Mr,couple,10-25,30-45
208,1,3,male,0,0,C,Mr,couple,10-25,15-30
209,1,3,female,0,0,Q,Miss,solo,1-10,15-30
210,1,1,male,0,0,C,Mr,solo,25-40,30-45
211,0,3,male,0,0,S,Mr,solo,1-10,15-30
212,1,2,female,0,0,S,Miss,solo,10-25,30-45
213,0,3,male,0,0,S,Mr,solo,1-10,15-30
214,0,2,male,0,0,S,Mr,solo,10-25,15-30
215,0,3,male,1,0,Q,Mr,couple,1-10,15-30
216,1,1,female,1,0,C,Miss,group,100+,30-45
217,1,3,female,0,0,S,Miss,solo,1-10,15-30
218,0,2,male,1,0,S,Mr,couple,25-40,30-45
219,1,1,female,0,0,C,Miss,solo,70-100,30-45
220,0,2,male,0,0,S,Mr,solo,10-25,15-30
221,1,3,male,0,0,S,Mr,solo,1-10,15-30
222,0,2,male,0,0,S,Mr,solo,10-25,15-30
223,0,3,male,0,0,S,Mr,solo,1-10,45-60
224,0,3,male,0,0,S,Mr,solo,1-10,15-30
225,1,1,male,1,0,S,Mr,couple,70-100,30-45
226,0,3,male,0,0,S,Mr,solo,1-10,15-30
227,1,2,male,0,0,S,Mr,solo,10-25,15-30
228,0,3,male,0,0,S,Mr,solo,1-10,15-30
229,0,2,male,0,0,S,Mr,solo,10-25,15-30
230,0,3,female,3,1,S,Miss,large group,25-40,15-30
231,1,1,female,1,0,S,Mrs,couple,70-100,30-45
232,0,3,male,0,0,S,Mr,solo,1-10,15-30
233,0,2,male,0,0,S,Mr,solo,10-25,45-60
234,1,3,female,4,2,S,Miss,large group,25-40,0-15
235,0,2,male,0,0,S,Mr,solo,10-25,15-30
236,0,3,female,0,0,S,Miss,solo,1-10,15-30
237,0,2,male,1,0,S,Mr,couple,25-40,30-45
238,1,2,female,0,2,S,Miss,group,25-40,0-15
239,0,2,male,0,0,S,Mr,solo,10-25,15-30
240,0,2,male,0,0,S,Mr,solo,10-25,30-45
241,0,3,female,1,0,C,Miss,couple,10-25,15-30
242,1,3,female,1,0,Q,Miss,couple,10-25,15-30
243,0,2,male,0,0,S,Mr,solo,10-25,15-30
244,0,3,male,0,0,S,Mr,solo,1-10,15-30
245,0,3,male,0,0,C,Mr,solo,1-10,15-30
246,0,1,male,2,0,Q,Rare Title,group,70-100,30-45
247,0,3,female,0,0,S,Miss,solo,1-10,15-30
248,1,2,female,0,2,S,Mrs,group,10-25,15-30
249,1,1,male,1,1,S,Mr,group,40-70,30-45
250,0,2,male,1,0,S,Rare Title,couple,25-40,45-60
251,0,3,male,0,0,S,Mr,solo,1-10,15-30
252,0,3,female,1,1,S,Mrs,group,10-25,15-30
253,0,1,male,0,0,S,Mr,solo,25-40,60+
254,0,3,male,1,0,S,Mr,couple,10-25,15-30
255,0,3,female,0,2,S,Mrs,group,10-25,30-45
256,1,3,female,0,2,C,Mrs,group,10-25,15-30
257,1,1,female,0,0,C,Mrs,solo,70-100,30-45
258,1,1,female,0,0,S,Miss,group,70-100,15-30
259,1,1,female,0,0,C,Miss,group,100+,30-45
260,1,2,female,0,1,S,Mrs,couple,25-40,45-60
261,0,3,male,0,0,Q,Mr,solo,1-10,15-30
262,1,3,male,4,2,S,Master,large group,25-40,0-15
263,0,1,male,1,1,S,Mr,group,70-100,45-60
264,0,1,male,0,0,S,Mr,solo,40-70,30-45
265,0,3,female,0,0,Q,Miss,solo,1-10,15-30
266,0,2,male,0,0,S,Mr,solo,10-25,30-45
267,0,3,male,4,1,S,Mr,large group,25-40,15-30
268,1,3,male,1,0,S,Mr,couple,1-10,15-30
269,1,1,female,0,1,S,Mrs,group,100+,45-60
270,1,1,female,0,0,S,Miss,group,100+,30-45
271,0,1,male,0,0,S,Mr,couple,25-40,30-45
272,1,3,male,0,0,S,Mr,group,1-10,15-30
273,1,2,female,0,1,S,Mrs,couple,10-25,30-45
274,0,1,male,0,1,C,Mr,couple,25-40,30-45
275,1,3,female,0,0,Q,Miss,solo,1-10,15-30
276,1,1,female,1,0,S,Miss,group,70-100,60+
277,0,3,female,0,0,S,Miss,solo,1-10,30-45
278,0,2,male,0,0,S,Mr,group,10-25,30-45
279,0,3,male,4,1,Q,Master,large group,25-40,0-15
280,1,3,female,1,1,S,Mrs,group,10-25,30-45
281,0,3,male,0,0,Q,Mr,solo,1-10,60+
282,0,3,male,0,0,S,Mr,solo,1-10,15-30
283,0,3,male,0,0,S,Mr,solo,1-10,15-30
284,1,3,male,0,0,S,Mr,solo,1-10,15-30
285,0,1,male,0,0,S,Mr,solo,25-40,30-45
286,0,3,male,0,0,C,Mr,solo,1-10,30-45
287,1,3,male,0,0,S,Mr,solo,1-10,15-30
288,0,3,male,0,0,S,Mr,solo,1-10,15-30
289,1,2,male,0,0,S,Mr,solo,10-25,30-45
290,1,3,female,0,0,Q,Miss,solo,1-10,15-30
291,1,1,female,0,0,S,Miss,couple,70-100,15-30
292,1,1,female,1,0,C,Mrs,couple,70-100,15-30
293,0,2,male,0,0,C,Mr,solo,10-25,30-45
294,0,3,female,0,0,S,Miss,solo,1-10,15-30
295,0,3,male,0,0,S,Mr,solo,1-10,15-30
296,0,1,male,0,0,C,Mr,solo,25-40,30-45
297,0,3,male,0,0,C,Mr,solo,1-10,15-30
298,0,1,female,1,2,S,Miss,group,100+,0-15
299,1,1,male,0,0,S,Mr,solo,25-40,30-45
300,1,1,female,0,1,C,Mrs,couple,100+,45-60
301,1,3,female,0,0,Q,Miss,solo,1-10,15-30
302,1,3,male,2,0,Q,Mr,group,10-25,15-30
303,0,3,male,0,0,S,Mr,group,1-10,15-30
304,1,2,female,0,0,Q,Miss,solo,10-25,15-30
305,0,3,male,0,0,S,Mr,solo,1-10,15-30
306,1,1,male,1,2,S,Master,group,100+,0-15
307,1,1,female,0,0,C,Miss,group,100+,15-30
308,1,1,female,1,0,C,Mrs,couple,100+,15-30
309,0,2,male,1,0,C,Mr,couple,10-25,15-30
310,1,1,female,0,0,C,Miss,couple,40-70,15-30
311,1,1,female,0,0,C,Miss,couple,70-100,15-30
312,1,1,female,2,2,C,Miss,large group,100+,15-30
313,0,2,female,1,1,S,Mrs,group,25-40,15-30
314,0,3,male,0,0,S,Mr,solo,1-10,15-30
315,0,2,male,1,1,S,Mr,group,25-40,30-45
316,1,3,female,0,0,S,Miss,solo,1-10,15-30
317,1,2,female,1,0,S,Mrs,couple,25-40,15-30
318,0,2,male,0,0,S,Rare Title,solo,10-25,45-60
319,1,1,female,0,2,S,Miss,group,100+,30-45
320,1,1,female,1,1,C,Mrs,group,100+,30-45
321,0,3,male,0,0,S,Mr,solo,1-10,15-30
322,0,3,male,0,0,S,Mr,solo,1-10,15-30
323,1,2,female,0,0,Q,Miss,solo,10-25,15-30
324,1,2,female,1,1,S,Mrs,group,25-40,15-30
325,0,3,male,8,2,S,Mr,large group,40-70,15-30
326,1,1,female,0,0,C,Miss,group,100+,30-45
327,0,3,male,0,0,S,Mr,solo,1-10,60+
328,1,2,female,0,0,S,Mrs,solo,10-25,30-45
329,1,3,female,1,1,S,Mrs,group,10-25,30-45
330,1,1,female,0,1,C,Miss,couple,40-70,15-30
331,1,3,female,2,0,Q,Miss,group,10-25,15-30
332,0,1,male,0,0,S,Mr,solo,25-40,45-60
333,0,1,male,0,1,S,Mr,group,100+,30-45
334,0,3,male,2,0,S,Mr,group,10-25,15-30
335,1,1,female,1,0,S,Mrs,couple,100+,30-45
336,0,3,male,0,0,S,Mr,solo,1-10,15-30
337,0,1,male,1,0,S,Mr,couple,40-70,15-30
338,1,1,female,0,0,C,Miss,couple,100+,30-45
339,1,3,male,0,0,S,Mr,solo,1-10,30-45
340,0,1,male,0,0,S,Mr,solo,25-40,30-45
341,1,2,male,1,1,S,Master,group,25-40,0-15
342,1,1,female,3,2,S,Miss,large group,100+,15-30
343,0,2,male,0,0,S,Mr,solo,10-25,15-30
344,0,2,male,0,0,S,Mr,solo,10-25,15-30
345,0,2,male,0,0,S,Mr,solo,10-25,30-45
346,1,2,female,0,0,S,Miss,solo,10-25,15-30
347,1,2,female,0,0,S,Miss,solo,10-25,30-45
348,1,3,female,1,0,S,Mrs,couple,10-25,30-45
349,1,3,male,1,1,S,Master,group,10-25,0-15
350,0,3,male,0,0,S,Mr,solo,1-10,30-45
351,0,3,male,0,0,S,Mr,solo,1-10,15-30
352,0,1,male,0,0,S,Mr,solo,25-40,30-45
353,0,3,male,1,1,C,Mr,group,1-10,
354,0,3,male,1,0,S,Mr,couple,10-25,15-30
355,0,3,male,0,0,C,Mr,solo,1-10,15-30
356,0,3,male,0,0,S,Mr,solo,1-10,15-30
357,1,1,female,0,1,S,Miss,couple,40-70,15-30
358,0,2,female,0,0,S,Miss,solo,10-25,30-45
359,1,3,female,0,0,Q,Miss,solo,1-10,15-30
360,1,3,female,0,0,Q,Miss,solo,1-10,15-30
361,0,3,male,1,4,S,Mr,large group,25-40,30-45
362,0,2,male,1,0,C,Mr,couple,25-40,15-30
363,0,3,female,0,1,C,Mrs,couple,10-25,30-45
364,0,3,male,0,0,S,Mr,solo,1-10,30-45
365,0,3,male,1,0,Q,Mr,couple,10-25,15-30
366,0,3,male,0,0,S,Mr,solo,1-10,15-30
367,1,1,female,1,0,C,Mrs,couple,70-100,45-60
368,1,3,female,0,0,C,Mrs,solo,1-10,30-45
369,1,3,female,0,0,Q,Miss,solo,1-10,15-30
370,1,1,female,0,0,C,Miss,couple,40-70,15-30
371,1,1,male,1,0,C,Mr,couple,40-70,15-30
372,0,3,male,1,0,S,Mr,couple,1-10,15-30
373,0,3,male,0,0,S,Mr,solo,1-10,15-30
374,0,1,male,0,0,C,Mr,group,100+,15-30
375,0,3,female,3,1,S,Miss,large group,10-25,0-15
376,1,1,female,1,0,C,Mrs,couple,70-100,30-45
377,1,3,female,0,0,S,Miss,solo,1-10,15-30
378,0,1,male,0,2,C,Mr,group,100+,15-30
379,0,3,male,0,0,C,Mr,solo,1-10,15-30
380,0,3,male,0,0,S,Mr,solo,1-10,15-30
381,1,1,female,0,0,C,Miss,group,100+,30-45
382,1,3,female,0,2,C,Miss,group,10-25,0-15
383,0,3,male,0,0,S,Mr,solo,1-10,30-45
384,1,1,female,1,0,S,Mrs,couple,40-70,30-45
385,0,3,male,0,0,S,Mr,solo,1-10,15-30
386,0,2,male,0,0,S,Mr,large group,70-100,15-30
387,0,3,male,5,2,S,Master,large group,40-70,0-15
388,1,2,female,0,0,S,Miss,solo,10-25,30-45
389,0,3,male,0,0,Q,Mr,solo,1-10,15-30
390,1,2,female,0,0,C,Miss,solo,10-25,15-30
391,1,1,male,1,2,S,Mr,group,100+,30-45
392,1,3,male,0,0,S,Mr,solo,1-10,15-30
393,0,3,male,2,0,S,Mr,group,1-10,15-30
394,1,1,female,1,0,C,Miss,group,100+,15-30
395,1,3,female,0,2,S,Mrs,group,10-25,15-30
396,0,3,male,0,0,S,Mr,solo,1-10,15-30
397,0,3,female,0,0,S,Miss,solo,1-10,30-45
398,0,2,male,0,0,S,Mr,couple,25-40,45-60
399,0,2,male,0,0,S,Rare Title,solo,10-25,15-30
400,1,2,female,0,0,S,Mrs,solo,10-25,15-30
401,1,3,male,0,0,S,Mr,solo,1-10,30-45
402,0,3,male,0,0,S,Mr,solo,1-10,15-30
403,0,3,female,1,0,S,Miss,couple,1-10,15-30
404,0,3,male,1,0,S,Mr,couple,10-25,15-30
405,0,3,female,0,0,S,Miss,solo,1-10,15-30
406,0,2,male,1,0,S,Mr,couple,10-25,30-45
407,0,3,male,0,0,S,Mr,solo,1-10,45-60
408,1,2,male,1,1,S,Master,group,10-25,0-15
409,0,3,male,0,0,S,Mr,solo,1-10,15-30
410,0,3,female,3,1,S,Miss,large group,25-40,15-30
411,0,3,male,0,0,S,Mr,solo,1-10,15-30
412,0,3,male,0,0,Q,Mr,solo,1-10,15-30
413,1,1,female,1,0,Q,Miss,couple,70-100,30-45
414,0,2,male,0,0,S,Mr,group,10-25,30-45
415,1,3,male,0,0,S,Mr,solo,1-10,30-45
416,0,3,female,0,0,S,Mrs,solo,1-10,30-45
417,1,2,female,1,1,S,Mrs,group,25-40,30-45
418,1,2,female,0,2,S,Miss,group,10-25,15-30
419,0,2,male,0,0,S,Mr,solo,10-25,15-30
420,0,3,female,0,2,S,Miss,group,10-25,0-15
421,0,3,male,0,0,C,Mr,solo,1-10,15-30
422,0,3,male,0,0,Q,Mr,solo,1-10,15-30
423,0,3,male,0,0,S,Mr,solo,1-10,15-30
424,0,3,female,1,1,S,Mrs,group,10-25,15-30
425,0,3,male,1,1,S,Mr,group,10-25,15-30
426,0,3,male,0,0,S,Mr,solo,1-10,15-30
427,1,2,female,1,0,S,Mrs,couple,25-40,15-30
428,1,2,female,0,0,S,Miss,couple,25-40,15-30
429,0,3,male,0,0,Q,Mr,solo,1-10,15-30
430,1,3,male,0,0,S,Mr,solo,1-10,30-45
431,1,1,male,0,0,S,Mr,solo,25-40,15-30
432,1,3,female,1,0,S,Mrs,couple,10-25,30-45
433,1,2,female,1,0,S,Mrs,couple,25-40,30-45
434,0,3,male,0,0,S,Mr,solo,1-10,15-30
435,0,1,male,1,0,S,Mr,couple,40-70,45-60
436,1,1,female,1,2,S,Miss,group,100+,0-15
437,0,3,female,2,2,S,Miss,large group,25-40,15-30
438,1,2,female,2,3,S,Mrs,large group,10-25,15-30
439,0,1,male,1,4,S,Mr,large group,100+,60+
440,0,2,male,0,0,S,Mr,solo,10-25,30-45
441,1,2,female,1,1,S,Mrs,group,25-40,30-45
442,0,3,male,0,0,S,Mr,solo,1-10,15-30
443,0,3,male,1,0,S,Mr,couple,1-10,15-30
